"Autor","Titulo","Cantidad","No. Dewey","Fecha","ISBN","tema","Info de publicación","Notas"
,"Larousse Diccionario Enciclopedico Usual","2","036.2 Lar","2008",9789702222378,"dictionario, referencia",,
,"Las Enseñanzas de Roma y la Palabra de Dios","1","282 Ens",,,"Catolicismo","Casa Bautista de Publicaciones",
,"Las Razas Humanas: America-Africa-Europa",1,"920  Raz Vol.I",,,"Las Razas","Instituto Gallach",
,"Las Razas Humanas:Origenes-Asia y Oceanía",1,"920 Raz   Vol.II",,,"Las Razas","Instituto Gallach",
,"Lecciones y Actividades Misioneras 3 a 8 años (2)","1","268.432   Lec",,,"Actividades para Niños","Casa Bautista de Publicaciones",
,"Lecciones y Actividades Misioneras 5 y 6 años (1)","1","268.432   Lec",,,"Actividades para Niños","Casa Bautista de Publicaciones",
,"Lecciones y Actividades Misioneras 7 y 8 años (1)","1","268.432   Lec",,,"Actividades para Niños","Casa Bautista de Publicaciones",
,"Libro del Año 1981","1","909   Lib",,,"Historia General del Año 1981","Editorial Cumbre, S. A.",
,"Lo Más Importante es el Amor","4","220.4 Mas",,,"Nuevo Testamento","La Bíblica Mundial del Hogar",
,"Los Dos Caminos y las Dos Destiaciones","1","236 Dos",,,"Escatología","Sembrador",
,"Los Hijos de la Pequeña Margarita","1","298.4 Hij",,,"Biografía","CLIE",
,"Los Libros Proféticos, Isaías, Ezequiel, Daniel, Joel, Zacarías","1","223 Lib",,,"Estudios sobre los Libros Proféticos",,"donado por Tap Y Katie Hornor, 2008"
,"Los que Abrieron el Camino","1","266.28 Abr",,,"Misiones","Junta Bautista de Publicaciones",
,"Más que Victoriosos/Romanos","1","220.4 Mas",,,"Romanos","Sociedades Bíblicas en América Latina",
,"México a través de los Siglos, Tomo I, Historia antigua y de la Conquista",1,"972  Cum  Vol. 1",,,"Historia de México","Editorial Cumbre, S. A.",
,"México a Través de los Siglos, Tomo II, Historia del Virreinato","1","972 Cum   Vol. 2",,,"Historia de México","Editorial Cumbre, S. A.",
,"México a Través de los Siglos, Tomo III, La Guerra de Independencia","1","972 Cum Vol. 3",,,"Historia de México","Editorial Cumbre, S. A.",
,"México a Través de los Siglos, Tomo IV, México Independiente","1","972 Cum Vol. 4",,,"Historia de México","Editorial Cumbre, S. A.",
,"México a Través de los Siglos, Tomo V, La Reforma","1","972 Cum Vol. 5",,,"Historia de México","Editorial Cumbre, S. A.",
,"Misión y Evangelización, Una Afirmación Ecuménica","1","290 Mis",,,"Ecumenismo","Consejo Mundial de Iglesias",
,"Monografías sobre la Educación Cristiana","1","268 Mon",,,"Educación Cristiana","Ediciones las Américas",
,"Monografías sobre la Educación Cristiana  (La administarcion de la escuela dominical)","1","268 Mon",,,"Educación Cristiana","Ediciones las Américas",
,"Monografías sobre la Educación Cristiana (El pastor y su programa de educacion cristiana)","1","268 Mon",,,"Educación Cristiana","Ediciones las Américas",
,"MS -DOS, Manual de Usuario y Referencia, Version 5.0","1","005 Man",,,"Computacion","Microsoft Corporation",
,"Muerte En La Ciudad",2,"218 Sch",1973,8472850404,"raza humana",,"donado por Tap Y Katie Hornor, 2008"
,"Niñas y Jovencitas (3)","3","268.433   Niñ",,,"Actividades para Jóvenes","Casa Bautista de Publicaciones",
,"No Hay Amor Mas Grande","2","220.4 Hay","1990",866609261,"nuevo testamento,biblia","Bibles for the World (1990), Paperback, 267 pages",
,"Novum Testamentum Et Psalmi","1","220.4 Nov",,,"Nuevo Testamento y Salmos en Latín","Londini",
,"Nueva Enciclopedia Temático, Tomo I, Teología, Astronomía, Física, Conquista del Espacio","2","403  Ric Vol. 1",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo II, Química, la Vida Botánica, Vida en el Mar","2","403 Ric  Vol. 2",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo III, Insectos, Reptiles y Aves","1","403 Ric Vol. 3",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo IV, Mamíferos y el Hombre","1","403 Ric  Vol.4",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo IX, Edad Media, Europa","2","403 Ric  Vol. 9",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo V, el Campo, Vestido, Construcción, Metales y Alimentación","2","403  Ric Vol.5",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo VI, Oficios, Comunicaciones, Transportes","2","403  Ric   Vol.6",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo VII, Ciencias, Tecnología, Electricidad, Electrónica, Vida Moderno","2","403  Ric Vol. 7",,,"Enciclopedia Temática","Editorial Richards, S. A.","donado por Tap Y Katie Hornor, 2008"
,"Nueva Enciclopedia Temático, Tomo VIII, Prehistoria, Historia Antigua","2","403  Ric  Vol. 8",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo X, Europa, Rusia","1","403  Ric Vol. 10",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo XI, América del Norte, Asia, África","2","403   Ric  Vol. 11",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo XII, España, Portugal, América Latina","2","403  Ric Vol. 12",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo XIII, Lecturas, Pasatiempos","2","403 Ric   Vol. 13",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nueva Enciclopedia Temático, Tomo XIV, Índice Alfabético","2","403 Ric   Vol. 14",,,"Enciclopedia Temática","Editorial Richards, S. A.",
,"Nuevo Pacto Hebreo/Espanol","2","220.4 Nue",,,"Nuevo Pacto/ Hebreo","Sociedad por la distribucion de las escrituras en lenguage hebaico",
,"Nuevo Testamento","1","220.4 Nue",,,"Nuevo Testamento","Asociación Bíblica Internacional",
,"Nuevo testamento  en Braile Vol. 1-10",10,"220.4 Nue Vol. 1-10",,,"Nuevo Testamento en Braile","Sociedades Bíblicas Unidas",
,"Nuevo Testamento Hebreo - Espanol","1","220.33 nue",,,"referencia, nuevo testamento, hebreo","Society for Distributing Hebrew Scriptures",
,"Nuevo Testamento Hebreo-Español","4","220.4 Nue",,,"Nuevo Testamento en Hebreo y Español","La Sociedad por la Distribución de las Sagradas Escrituras a los Judíos",
,"Nuevo Testamento, Edición Subrayada","1","220.4 Nue",,,"Nuevo Testamento","Casa Bíblica de los Ángeles",
,"Nuevo Testamento, Nueva Versión Internacional, Griego-Español","1","220.4 Nue",,,"Nuevo Testamento en Griego y Español","Sociedad Bíblica Internacional",
,"Nuevo Testamento: Español e Ingles","1","220.4  Nue",,,"Nuevo Testamento Español e Ingles","Los Gedeones Internacionales",
,"Ot Heoahha, Pocpahme e Rhemprham","1","220.4 Heo",,,"evangelios, romanos, ruso","La Preciosa Simiente",
,"Pequeno Larousse, El","2","036.1 Lar","1997",,"dictionario, referencia",,
,"Pescadores de Hombres","1","248.5  Pes",,,"Evangelismo",,
,"Relación Personal de Ofrendas y Diezmos","2","248.6  Rel",,,"Ejemplo para llevar Ofrendas y Diezmo Personales",,
,"San Juan","1","220.4 San",,,"Evangelio de Juan","Sociedad Bíblica de México",
,"San marcosta Ji'ojteri, El Santo Evangelio Segun San Marcos","1","220.4 Mar",,,"evangelio, mayo","Sociedad Biblica de Mexico",
,"Seminario Sobre Principios Practicos","1","248.7   Para",,,"Discipulado",,
,"Señoritas (1)","1","268.433  Señ",,,"Actividades para Jóvenes","Casa Bautista de Publicaciones",
,"The Holy Bible King James Version: King James Version Economy","4","220.4  Hol","2004",1565633253,"biblia,engles","Hendrickson Publishers (2004), Paperback, 608 pages",
,"Y Resulto Culpable/Libro de Jonás","1","224.92 Res",,,"Libro de Jonás","Sociedades Bíblicas Unidas",
